"Ind","Sex","Group","variable","value"
"1_1","m","White","Fem1",381
"1_2","m","White","Fem1",385
"1_3","m","White","Fem1",389
"1_4","m","White","Fem1",393
"1_9","m","White","Fem1",414
"1_10","m","White","Fem1",419
"1_11","m","White","Fem1",423
"1_12","m","White","Fem1",427
"1_13","m","White","Fem1",431
"1_14","m","White","Fem1",435
"1_15","m","White","Fem1",440
"1_16","m","White","Fem1",444
"1_17","m","White","Fem1",448
"1_18","m","White","Fem1",452
"1_19","m","White","Fem1",456
"1_20","m","White","Fem1",461
"1_21","m","White","Fem1",465
"1_22","m","White","Fem1",469
"1_23","m","White","Fem1",473
"1_24","m","White","Fem1",477
"1_25","m","White","Fem1",482
"1_26","m","White","Fem1",486
"1_27","m","White","Fem1",490
"1_28","m","White","Fem1",494
"1_29","m","White","Fem1",498
"1_30","m","White","Fem1",503
"1_31","m","White","Fem1",507
"1_32","m","White","Fem1",511
"1_33","m","White","Fem1",515
"1_34","m","White","Fem1",519
"1_35","m","White","Fem1",524
"1_36","m","White","Fem1",528
"1_37","m","White","Fem1",532
"1_38","m","White","Fem1",536
"1_39","m","White","Fem1",540
"1_40","m","White","Fem1",545
"1_41","m","White","Fem1",549
"1_42","m","White","Fem1",553
"1_43","m","White","Fem1",557
"1_44","m","White","Fem1",561
"1_45","m","White","Fem1",566
"1_46","m","White","Fem1",570
"1_47","m","White","Fem1",574
"2_1","m","Black","Fem1",387
"2_2","m","Black","Fem1",391
"2_3","m","Black","Fem1",396
"2_4","m","Black","Fem1",401
"2_5","m","Black","Fem1",406
"2_6","m","Black","Fem1",410
"2_7","m","Black","Fem1",415
"2_8","m","Black","Fem1",420
"2_9","m","Black","Fem1",425
"2_10","m","Black","Fem1",430
"2_11","m","Black","Fem1",434
"2_12","m","Black","Fem1",439
"2_13","m","Black","Fem1",444
"2_14","m","Black","Fem1",449
"2_15","m","Black","Fem1",453
"2_16","m","Black","Fem1",458
"2_17","m","Black","Fem1",463
"2_18","m","Black","Fem1",468
"2_19","m","Black","Fem1",472
"2_20","m","Black","Fem1",477
"2_21","m","Black","Fem1",482
"2_22","m","Black","Fem1",487
"2_23","m","Black","Fem1",491
"2_24","m","Black","Fem1",496
"2_25","m","Black","Fem1",501
"2_26","m","Black","Fem1",506
"2_27","m","Black","Fem1",510
"2_28","m","Black","Fem1",515
"2_29","m","Black","Fem1",520
"2_30","m","Black","Fem1",525
"2_31","m","Black","Fem1",529
"2_32","m","Black","Fem1",534
"2_33","m","Black","Fem1",539
"2_34","m","Black","Fem1",544
"2_35","m","Black","Fem1",548
"2_36","m","Black","Fem1",553
"2_37","m","Black","Fem1",558
"2_38","m","Black","Fem1",563
"2_39","m","Black","Fem1",567
"2_40","m","Black","Fem1",572
"2_41","m","Black","Fem1",577
"2_42","m","Black","Fem1",582
"2_43","m","Black","Fem1",586
"2_44","m","Black","Fem1",591
"2_45","m","Black","Fem1",596
"2_46","m","Black","Fem1",601
"2_47","m","Black","Fem1",605
"3_1","f","White","Fem1",348
"3_2","f","White","Fem1",352
"3_3","f","White","Fem1",356
"3_4","f","White","Fem1",360
"3_5","f","White","Fem1",364
"3_6","f","White","Fem1",368
"3_7","f","White","Fem1",372
"3_8","f","White","Fem1",376
"3_9","f","White","Fem1",380
"3_10","f","White","Fem1",384
"3_11","f","White","Fem1",388
"3_12","f","White","Fem1",392
"3_13","f","White","Fem1",396
"3_14","f","White","Fem1",400
"3_15","f","White","Fem1",404
"3_16","f","White","Fem1",409
"3_17","f","White","Fem1",413
"3_18","f","White","Fem1",417
"3_19","f","White","Fem1",421
"3_20","f","White","Fem1",425
"3_21","f","White","Fem1",429
"3_22","f","White","Fem1",433
"3_23","f","White","Fem1",437
"3_24","f","White","Fem1",441
"3_25","f","White","Fem1",445
"3_26","f","White","Fem1",449
"3_27","f","White","Fem1",453
"3_28","f","White","Fem1",457
"3_29","f","White","Fem1",461
"3_30","f","White","Fem1",465
"3_31","f","White","Fem1",469
"3_32","f","White","Fem1",473
"3_33","f","White","Fem1",477
"3_34","f","White","Fem1",481
"3_35","f","White","Fem1",485
"3_36","f","White","Fem1",489
"3_37","f","White","Fem1",494
"3_38","f","White","Fem1",498
"3_39","f","White","Fem1",502
"3_40","f","White","Fem1",506
"3_41","f","White","Fem1",510
"3_42","f","White","Fem1",514
"3_43","f","White","Fem1",518
"3_44","f","White","Fem1",522
"3_45","f","White","Fem1",526
"4_1","f","Black","Fem1",352
"4_2","f","Black","Fem1",356
"4_3","f","Black","Fem1",361
"4_4","f","Black","Fem1",365
"4_5","f","Black","Fem1",369
"4_6","f","Black","Fem1",374
"4_7","f","Black","Fem1",378
"4_8","f","Black","Fem1",383
"4_9","f","Black","Fem1",387
"4_10","f","Black","Fem1",391
"4_11","f","Black","Fem1",396
"4_12","f","Black","Fem1",400
"4_13","f","Black","Fem1",405
"4_14","f","Black","Fem1",409
"4_15","f","Black","Fem1",413
"4_16","f","Black","Fem1",418
"4_17","f","Black","Fem1",422
"4_18","f","Black","Fem1",426
"4_19","f","Black","Fem1",431
"4_20","f","Black","Fem1",435
"4_21","f","Black","Fem1",440
"4_22","f","Black","Fem1",444
"4_23","f","Black","Fem1",448
"4_24","f","Black","Fem1",453
"4_25","f","Black","Fem1",457
"4_26","f","Black","Fem1",462
"4_27","f","Black","Fem1",466
"4_28","f","Black","Fem1",470
"4_29","f","Black","Fem1",475
"4_30","f","Black","Fem1",479
"4_31","f","Black","Fem1",484
"4_32","f","Black","Fem1",488
"4_33","f","Black","Fem1",492
"4_34","f","Black","Fem1",497
"4_35","f","Black","Fem1",501
"4_36","f","Black","Fem1",505
"4_37","f","Black","Fem1",510
"4_38","f","Black","Fem1",514
"4_39","f","Black","Fem1",519
"4_40","f","Black","Fem1",523
"4_41","f","Black","Fem1",527
"4_42","f","Black","Fem1",532
"4_43","f","Black","Fem1",536
"4_44","f","Black","Fem1",541
"4_45","f","Black","Fem1",545
"1_8","m","White","Fem1",410
"1_5","m","White","Fem1",398
"1_6","m","White","Fem1",402
"1_7","m","White","Fem1",406
"1_1","m","White","Hum1",265
"1_2","m","White","Hum1",268
"1_3","m","White","Hum1",271
"1_4","m","White","Hum1",275
"1_5","m","White","Hum1",278
"1_10","m","White","Hum1",291
"1_11","m","White","Hum1",297
"1_12","m","White","Hum1",301
"1_13","m","White","Hum1",304
"1_14","m","White","Hum1",307
"1_15","m","White","Hum1",310
"1_16","m","White","Hum1",314
"1_17","m","White","Hum1",317
"1_18","m","White","Hum1",320
"1_6","m","White","Hum1",281
"1_7","m","White","Hum1",284
"1_8","m","White","Hum1",288
"1_9","m","White","Hum1",291
"1_23","m","White","Hum1",336
"1_24","m","White","Hum1",339
"1_25","m","White","Hum1",343
"1_26","m","White","Hum1",346
"1_27","m","White","Hum1",349
"1_28","m","White","Hum1",352
"1_29","m","White","Hum1",356
"1_30","m","White","Hum1",359
"1_31","m","White","Hum1",362
"1_19","m","White","Hum1",323
"1_20","m","White","Hum1",327
"1_21","m","White","Hum1",330
"1_22","m","White","Hum1",333
"1_36","m","White","Hum1",378
"1_37","m","White","Hum1",382
"1_38","m","White","Hum1",385
"1_39","m","White","Hum1",388
"1_40","m","White","Hum1",391
"1_41","m","White","Hum1",395
"1_42","m","White","Hum1",398
"1_43","m","White","Hum1",401
"1_44","m","White","Hum1",404
"1_45","m","White","Hum1",408
"1_46","m","White","Hum1",411
"1_47","m","White","Hum1",414
"2_1","m","Black","Hum1",276
"2_2","m","Black","Hum1",279
"2_3","m","Black","Hum1",282
"2_4","m","Black","Hum1",285
"2_5","m","Black","Hum1",288
"2_6","m","Black","Hum1",291
"2_7","m","Black","Hum1",294
"2_8","m","Black","Hum1",297
"2_9","m","Black","Hum1",300
"2_10","m","Black","Hum1",303
"2_11","m","Black","Hum1",306
"2_12","m","Black","Hum1",310
"2_13","m","Black","Hum1",313
"2_14","m","Black","Hum1",316
"2_15","m","Black","Hum1",319
"2_16","m","Black","Hum1",322
"2_17","m","Black","Hum1",325
"2_18","m","Black","Hum1",328
"2_19","m","Black","Hum1",331
"2_20","m","Black","Hum1",334
"2_21","m","Black","Hum1",337
"2_22","m","Black","Hum1",340
"2_23","m","Black","Hum1",343
"2_24","m","Black","Hum1",346
"1_32","m","White","Hum1",365
"1_33","m","White","Hum1",369
"1_34","m","White","Hum1",372
"1_35","m","White","Hum1",375
"2_29","m","Black","Hum1",362
"2_30","m","Black","Hum1",365
"2_31","m","Black","Hum1",368
"2_32","m","Black","Hum1",371
"2_33","m","Black","Hum1",374
"2_34","m","Black","Hum1",377
"2_35","m","Black","Hum1",380
"2_36","m","Black","Hum1",383
"2_37","m","Black","Hum1",386
"2_38","m","Black","Hum1",389
"2_39","m","Black","Hum1",392
"2_40","m","Black","Hum1",395
"2_41","m","Black","Hum1",398
"2_42","m","Black","Hum1",401
"2_43","m","Black","Hum1",405
"2_44","m","Black","Hum1",408
"2_45","m","Black","Hum1",411
"2_46","m","Black","Hum1",414
"2_47","m","Black","Hum1",417
"3_1","f","White","Hum1",244
"3_2","f","White","Hum1",247
"3_3","f","White","Hum1",250
"3_4","f","White","Hum1",253
"3_5","f","White","Hum1",256
"3_6","f","White","Hum1",259
"3_7","f","White","Hum1",262
"3_8","f","White","Hum1",265
"3_9","f","White","Hum1",268
"3_10","f","White","Hum1",271
"3_11","f","White","Hum1",274
"3_12","f","White","Hum1",277
"3_13","f","White","Hum1",280
"3_14","f","White","Hum1",283
"3_15","f","White","Hum1",286
"3_16","f","White","Hum1",289
"3_17","f","White","Hum1",292
"3_18","f","White","Hum1",295
"3_19","f","White","Hum1",298
"3_20","f","White","Hum1",301
"3_21","f","White","Hum1",304
"3_22","f","White","Hum1",307
"3_23","f","White","Hum1",310
"3_24","f","White","Hum1",313
"3_25","f","White","Hum1",316
"3_26","f","White","Hum1",319
"3_27","f","White","Hum1",322
"3_28","f","White","Hum1",324
"3_29","f","White","Hum1",327
"3_30","f","White","Hum1",330
"3_31","f","White","Hum1",333
"3_32","f","White","Hum1",336
"3_33","f","White","Hum1",339
"3_34","f","White","Hum1",342
"3_35","f","White","Hum1",345
"3_36","f","White","Hum1",348
"3_37","f","White","Hum1",351
"3_38","f","White","Hum1",354
"3_39","f","White","Hum1",357
"3_40","f","White","Hum1",360
"3_41","f","White","Hum1",363
"3_42","f","White","Hum1",366
"3_43","f","White","Hum1",369
"3_44","f","White","Hum1",372
"3_45","f","White","Hum1",375
"4_1","f","Black","Hum1",245
"4_2","f","Black","Hum1",248
"4_3","f","Black","Hum1",251
"4_4","f","Black","Hum1",254
"4_5","f","Black","Hum1",258
"4_6","f","Black","Hum1",261
"4_7","f","Black","Hum1",264
"4_8","f","Black","Hum1",267
"4_9","f","Black","Hum1",271
"4_10","f","Black","Hum1",274
"4_11","f","Black","Hum1",277
"4_12","f","Black","Hum1",280
"4_13","f","Black","Hum1",284
"4_14","f","Black","Hum1",287
"4_15","f","Black","Hum1",290
"4_16","f","Black","Hum1",293
"4_17","f","Black","Hum1",297
"4_18","f","Black","Hum1",300
"4_19","f","Black","Hum1",303
"4_20","f","Black","Hum1",306
"4_21","f","Black","Hum1",310
"4_22","f","Black","Hum1",313
"4_23","f","Black","Hum1",316
"4_24","f","Black","Hum1",319
"4_25","f","Black","Hum1",322
"4_26","f","Black","Hum1",326
"4_27","f","Black","Hum1",329
"4_28","f","Black","Hum1",332
"4_29","f","Black","Hum1",335
"4_30","f","Black","Hum1",339
"4_31","f","Black","Hum1",342
"4_32","f","Black","Hum1",345
"4_33","f","Black","Hum1",348
"4_34","f","Black","Hum1",352
"4_35","f","Black","Hum1",355
"4_36","f","Black","Hum1",358
"4_37","f","Black","Hum1",361
"4_38","f","Black","Hum1",365
"4_39","f","Black","Hum1",368
"4_40","f","Black","Hum1",371
"4_41","f","Black","Hum1",374
"4_42","f","Black","Hum1",378
"4_43","f","Black","Hum1",381
"4_44","f","Black","Hum1",384
"4_45","f","Black","Hum1",387
"2_25","m","Black","Hum1",349
"2_26","m","Black","Hum1",352
"2_27","m","Black","Hum1",356
"2_28","m","Black","Hum1",359
"1_1","m","White","Rad1",193
"1_2","m","White","Rad1",196
"1_3","m","White","Rad1",198
"1_4","m","White","Rad1",201
"1_5","m","White","Rad1",204
"1_6","m","White","Rad1",206
"1_7","m","White","Rad1",209
"1_8","m","White","Rad1",212
"1_13","m","White","Rad1",225
"1_14","m","White","Rad1",228
"1_15","m","White","Rad1",230
"1_16","m","White","Rad1",233
"1_17","m","White","Rad1",235
"1_18","m","White","Rad1",238
"1_19","m","White","Rad1",241
"1_20","m","White","Rad1",243
"1_21","m","White","Rad1",246
"1_22","m","White","Rad1",249
"1_23","m","White","Rad1",251
"1_24","m","White","Rad1",254
"1_25","m","White","Rad1",257
"1_26","m","White","Rad1",259
"1_27","m","White","Rad1",262
"1_28","m","White","Rad1",265
"1_29","m","White","Rad1",267
"1_30","m","White","Rad1",270
"1_31","m","White","Rad1",272
"1_32","m","White","Rad1",275
"1_33","m","White","Rad1",278
"1_34","m","White","Rad1",280
"1_35","m","White","Rad1",283
"1_36","m","White","Rad1",286
"1_37","m","White","Rad1",288
"1_38","m","White","Rad1",291
"1_39","m","White","Rad1",294
"1_40","m","White","Rad1",296
"1_41","m","White","Rad1",299
"1_42","m","White","Rad1",302
"1_43","m","White","Rad1",304
"1_44","m","White","Rad1",307
"1_45","m","White","Rad1",309
"1_46","m","White","Rad1",312
"1_47","m","White","Rad1",315
"2_1","m","Black","Rad1",206
"2_2","m","Black","Rad1",209
"2_3","m","Black","Rad1",212
"2_4","m","Black","Rad1",215
"2_5","m","Black","Rad1",218
"2_6","m","Black","Rad1",221
"2_7","m","Black","Rad1",224
"2_8","m","Black","Rad1",226
"2_9","m","Black","Rad1",229
"2_10","m","Black","Rad1",232
"2_11","m","Black","Rad1",235
"2_12","m","Black","Rad1",238
"2_13","m","Black","Rad1",241
"2_14","m","Black","Rad1",244
"2_15","m","Black","Rad1",247
"2_16","m","Black","Rad1",250
"2_17","m","Black","Rad1",253
"2_18","m","Black","Rad1",256
"2_19","m","Black","Rad1",259
"2_20","m","Black","Rad1",262
"2_21","m","Black","Rad1",264
"2_22","m","Black","Rad1",267
"2_23","m","Black","Rad1",270
"2_24","m","Black","Rad1",273
"2_25","m","Black","Rad1",276
"2_26","m","Black","Rad1",279
"2_27","m","Black","Rad1",282
"2_28","m","Black","Rad1",285
"2_29","m","Black","Rad1",288
"2_30","m","Black","Rad1",291
"2_31","m","Black","Rad1",294
"2_32","m","Black","Rad1",297
"2_33","m","Black","Rad1",300
"2_34","m","Black","Rad1",302
"2_35","m","Black","Rad1",305
"2_36","m","Black","Rad1",308
"2_37","m","Black","Rad1",311
"2_38","m","Black","Rad1",314
"2_39","m","Black","Rad1",317
"2_40","m","Black","Rad1",320
"2_41","m","Black","Rad1",323
"2_42","m","Black","Rad1",326
"2_43","m","Black","Rad1",329
"2_44","m","Black","Rad1",332
"2_45","m","Black","Rad1",335
"2_46","m","Black","Rad1",337
"2_47","m","Black","Rad1",340
"3_1","f","White","Rad1",179
