# Source: K. Schmidt/H. Bruchhaus/R. Bindl, Körperhöhenschätzung an ausgewählten neolithischen und bronzezeitlichen Skeletten. Archäologische Informationen 30,1, 2007, 51–69.
# Original headings: Skelett, Zeitstellung, Geschlecht, Körperhöhe Fully & Pineau (1960) [cm], Fenur (M1), Tibia (M1a), Humerus (M1)
# The stature is given in centimetres and has been converted to millimeters here for consistency. 
skeleton,period,sex,stature,Fem1,Tib1a,Hum1
01,"Schnurkeramik","weiblich",1528,415.5,346,298.5
02,"Schnurkeramik","weiblich",1609,415,334,305.5
03,"Schnurkeramik","weiblich",1607,436,371.5,317
04,"Schnurkeramik","männlich",1795,500,423,359
05,"Glockenbecherkultur","weiblich",1599,446.5,349,305
06,"Glockenbecherkultur","männlich",1641,439,364,296
07,"Bandkeramik,"männlich"",1656,449,358.5,320
08,"Bandkeramik,"männlich"",1622,437,350,308.5
09,"Aunjetitzkultur","weiblich",1588,434,361,309.5
10,"Aunjetitzkultur","weiblich",1523,410,331,296